section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3,
education,TRUE,"M.S., Program Evaluation and Data Analytics",Arizona State University,"Tempe, AZ",NA,Currently Attending,Expected Graduation: August 2025,Current GPA: 4.0,NA,NA
education,TRUE,"B.S., Psychology, (Forensic Psychology)",Arizona State University,"Tempe, AZ",NA,2024,Deans List,GPA: 4.0,NA,NA
education,TRUE,Police Officer Standards Training (POST) Certification,Montana Law Enforcement Academy,"Helena, MT",NA,2016,,,,
industry_positions,TRUE,Police Patrol Sergeant ,The City-County of Butte-Silver Bow,"Butte, MT",2023,Current,"Currently lead and supervise a graveyard crew of 7-8 patrol officers, ensuring they execute their duties effectively and safely by strictly adhering to departmental policies, procedures, and local, state, and federal laws, resulting in efficient operations. My responsibilities include responding to calls for service, making and securing arrests and warrants, and meticulously completing and reviewing reports to ensure accuracy. I take a leading role in incident management during critical situations, coordinating emergency response efforts, overseeing tactical operations, and facilitating effective communication among units. I also utilize conflict resolution techniques to mediate disputes within the community and among officers, promoting a collaborative environment that enhances teamwork and mutual understanding. Furthermore, I collaborate closely with community stakeholders to cultivate positive relationships, which directly contributes to enhancing public safety measures.",NA,NA,NA
industry_positions,TRUE,Police Patrol Officer,The City-County of Butte-Silver Bow,"Butte, MT",2017,2023,"Responsible for maintaining public safety and enforcing state and local laws within the community. Responded to calls for service involving domestic disputes, homicides, traffic accidents, drug-related incidents, and property crimes. Exercised autonomy in making real-time decisions during patrols and assessing situations to determine appropriate actions. Engaged with community members to build trust and foster positive relationships, addressing concerns and promoting public awareness of safety issues.",,,
industry_positions,TRUE,Association Treasurer,Montana Police Protective Association,"Helena, MT",2024,Current,"Currently serves as the treasurer of the association's financial operations, overseeing the financial matters for approximately 800 members, ensuring transparency and accountability. I prepare detailed financial reports for board meetings and membership reviews, providing insights that inform strategic decisions. Additionally, I oversee budgeting processes and investments to strategically allocate resources and ensure the success of association programs. My role requires collaboration with board members to enhance member engagement. I also work closely with association members to promote the association's mission.",NA,NA,NA
industry_positions,TRUE,MCS Enforcement Scale Officer,State of Montana Department of Transportation,"Butte, MT",2015,2017,"Responsible for enforcing and helping to regulate federal and montana commercial and agricultural motor transportation laws. Conducted  commercial vehicle safety alliance and hazmat inspections. Took enforcement action on laws pertaining to height, weight, length restrictions, permitting, licensing, fuel tax, and safety. ",NA,NA,NA
industry_positions,TRUE,Involvement Coordinator,Human Resources Council District XII Head Start,"Butte, MT",2014,2015,"Responsible for parent, community, and youth engagement in our Head Start program. This included planning, organizing, and facilitating large parent education events (Winter Wonderland, Parent Fairs), as well as weekly educational opportunities for parents (nutrition education classes, parenting and discipline classes). Collaborated with community donors and volunteers to support our Adopt-A-Class book program. Worked closely with the Head Start Policy Council to facilitate elections, train new members, and provide required documentation and financials for monthly meetings. Assisted Head Start families to develop kindergarten readiness and family engagement goals, providing case management services and referrals to help families meet these goals. Managed the organization, visualization, and presentation of critical data and goal progress for diverse stakeholders including the Data Analysis Team, School Readiness Team, Policy Council, HRC District XII board members, and community partners to drive informed decision-making and strategic planning.",,,
professional-experience,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
professional-experience,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
accomplishments,TRUE,Board Member/Treasurer,Montana Police Protective Association,NA,NA,NA,NA,NA,NA,NA
accomplishments,TRUE,Vice President,utte Police Protective Association,NA,NA,NA,NA,NA,NA,NA
accomplishments,TRUE,Field Training Officer,Butte-SilverBow Law Enforcement Agency,NA,NA,NA,NA,NA,NA,NA
accomplishments,TRUE,Special Olympics Leg Leader,Montana Special Olympics,NA,NA,NA,NA,NA,NA,NA
accomplishments,TRUE,Omikron Delta Kappa Member,The National Leadership Honor Society,NA,NA,NA,NA,NA,NA,NA
